date,aci
1950-01,0
1950-02,0
1950-03,0
1950-04,0
1950-05,0
1950-06,0
1950-07,0
1950-08,0
1950-09,0
1950-10,0.4
1950-11,0.41
1950-12,0.42
1951-01,0.43
1951-02,0.43
1951-03,0.44
1951-04,0.45
1951-05,0.46
1951-06,0.47
1951-07,0.48
1951-08,0.49
1951-09,0.5
1951-10,0.5
1951-11,0.51
1951-12,0.52
1952-01,0.53
1952-02,0.54
1952-03,0.55
1952-04,0.56
1952-05,0.57
1952-06,0.57
1952-07,0.58
1952-08,0.59
1952-09,0.6
1952-10,0.61
1952-11,0.62
1952-12,0.63
1953-01,0.63
1953-02,0.64
1953-03,0.65
1953-04,0.66
1953-05,0.67
1953-06,0.68
1953-07,0.69
1953-08,0.7
1953-09,0.7
1953-10,0.71
1953-11,0.72
1953-12,0.73
1954-01,0.74
1954-02,0.75
1954-03,0.76
1954-04,0.77
1954-05,0.77
1954-06,0.78
1954-07,0.79
1954-08,0.8
1954-09,0.81
1954-10,0.82
1954-11,0.83
1954-12,0.83
1955-01,0.84
1955-02,0.85
1955-03,0.86
1955-04,0.87
1955-05,0.88
1955-06,0.89
1955-07,0.9
1955-08,0.9
1955-09,0.91
1955-10,0.92
1955-11,0.93
1955-12,0.94
1956-01,0.95
1956-02,0.96
1956-03,0.97
1956-04,0.97
1956-05,0.98
1956-06,0.99
1956-07,1
1956-08,1.01
1956-09,1.02
1956-10,1.03
1956-11,1.04
1956-12,1.05
1957-01,1.06
1957-02,1.08
1957-03,1.1
1957-04,1.12
1957-05,1.14
1957-06,1.16
1957-07,1.19
1957-08,1.21
1957-09,1.23
1957-10,1.25
1957-11,1.27
1957-12,1.29
1958-01,1.31
1958-02,1.33
1958-03,1.35
1958-04,1.37
1958-05,1.4
1958-06,1.42
1958-07,1.44
1958-08,1.46
1958-09,1.48
1958-10,1.5
1958-11,1.52
1958-12,1.54
1959-01,1.56
1959-02,1.59
1959-03,1.59
1959-04,1.59
1959-05,1.59
1959-06,1.59
1959-07,1.59
1959-08,1.59
1959-09,1.59
1959-10,1.59
1959-11,1.59
1959-12,1.59
1960-01,1.6
1960-02,1.6
1960-03,1.6
1960-04,1.6
1960-05,1.6
1960-06,1.6
1960-07,1.6
1960-08,1.6
1960-09,1.6
1960-10,1.6
1960-11,1.6
1960-12,1.6
1961-01,1.6
1961-02,1.6
1961-03,1.6
1961-04,1.6
1961-05,1.6
1961-06,1.6
1961-07,1.6
1961-08,1.6
1961-09,1.6
1961-10,1.6
1961-11,1.6
1961-12,1.6
1962-01,1.6
1962-02,1.6
1962-03,1.6
1962-04,1.6
1962-05,1.6
1962-06,1.6
1962-07,1.6
1962-08,1.6
1962-09,1.6
1962-10,1.6
1962-11,1.6
1962-12,1.6
1963-01,1.6
1963-02,1.6
1963-03,1.6
1963-04,1.6
1963-05,1.6
1963-06,1.6
1963-07,1.6
1963-08,1.6
1963-09,1.6
1963-10,1.6
1963-11,1.6
1963-12,1.6
1964-01,1.6
1964-02,1.6
1964-03,1.6
1964-04,1.6
1964-05,1.6
1964-06,1.6
1964-07,1.6
1964-08,1.6
1964-09,1.6
1964-10,1.6
1964-11,1.6
1964-12,1.6
1965-01,1.6
1965-02,1.6
1965-03,1.6
1965-04,1.6
1965-05,1.6
1965-06,1.6
1965-07,1.6
1965-08,1.6
1965-09,1.6
1965-10,1.6
1965-11,1.6
1965-12,1.6
1966-01,1.6
1966-02,1.6
1966-03,1.6
1966-04,1.6
1966-05,1.6
1966-06,1.6
1966-07,1.61
1966-08,1.61
1966-09,1.62
1966-10,1.62
1966-11,1.63
1966-12,1.63
1967-01,1.64
1967-02,1.64
1967-03,1.65
1967-04,1.65
1967-05,1.66
1967-06,1.66
1967-07,1.67
1967-08,1.67
1967-09,1.68
1967-10,1.68
1967-11,1.69
1967-12,1.69
1968-01,1.7
1968-02,1.7
1968-03,1.71
1968-04,1.71
1968-05,1.72
1968-06,1.72
1968-07,1.73
1968-08,1.73
1968-09,1.74
1968-10,1.74
1968-11,1.75
1968-12,1.75
1969-01,1.76
1969-02,1.76
1969-03,1.77
1969-04,1.77
1969-05,1.78
1969-06,1.78
1969-07,1.79
1969-08,1.79
1969-09,1.8
1969-10,1.8
1969-11,1.81
1969-12,1.81
1970-01,1.82
1970-02,1.82
1970-03,1.83
1970-04,1.83
1970-05,1.84
1970-06,1.84
1970-07,1.85
1970-08,1.85
1970-09,1.86
1970-10,1.86
1970-11,1.87
1970-12,1.87
1971-01,1.88
1971-02,1.88
1971-03,1.89
1971-04,1.89
1971-05,1.9
1971-06,1.9
1971-07,1.91
1971-08,1.91
1971-09,1.92
1971-10,1.92
1971-11,1.93
1971-12,1.93
1972-01,1.94
1972-02,1.94
1972-03,1.95
1972-04,1.95
1972-05,1.96
1972-06,1.96
1972-07,1.97
1972-08,1.97
1972-09,1.98
1972-10,1.98
1972-11,1.99
1972-12,1.99
1973-01,2
1973-02,2
1973-03,2.01
1973-04,2.01
1973-05,2.02
1973-06,2.02
1973-07,2.03
1973-08,2.03
1973-09,2.04
1973-10,2.04
1973-11,2.05
1973-12,2.05
1974-01,2.06
1974-02,2.06
1974-03,2.07
1974-04,2.07
1974-05,2.08
1974-06,2.08
1974-07,2.09
1974-08,2.09
1974-09,2.1
1974-10,2.1
1974-11,2.11
1974-12,2.11
1975-01,2.12
1975-02,2.12
1975-03,2.13
1975-04,2.13
1975-05,2.14
1975-06,2.14
1975-07,2.15
1975-08,2.15
1975-09,2.16
1975-10,2.16
1975-11,2.17
1975-12,2.17
1976-01,2.18
1976-02,2.18
1976-03,2.19
1976-04,2.19
1976-05,2.2
1976-06,2.2
1976-07,2.21
1976-08,2.22
1976-09,2.23
1976-10,2.24
1976-11,2.25
1976-12,2.26
1977-01,2.27
1977-02,2.28
1977-03,2.29
1977-04,2.3
1977-05,2.32
1977-06,2.33
1977-07,2.34
1977-08,2.35
