date,valuation,ratio,momentum,progress
1990-01,93.2,1.1,15.7,
1990-02,91.3,12.2,19.6,
1990-03,92.4,13.8,24.8,
1990-04,91.9,3.3,18,
1990-05,93.2,23.5,44.7,
1990-06,94.4,17.4,48.2,
1990-07,93.6,2.2,29.7,
1990-08,85.6,1.1,7.8,
1990-09,79.1,0.5,2.7,
1990-10,76.2,0.5,2.4,
1990-11,78.1,2.6,10.2,
1990-12,81.3,3.2,18.1,
1991-01,79.6,31.9,54.2,
1991-02,91.3,25,85.7,
1991-03,92.8,38.3,94.4,
1991-04,93.4,34.5,93.5,
1991-05,92.9,51.8,96.5,
1991-06,92.5,33.2,82.8,
1991-07,92.5,49.7,86.9,
1991-08,93.6,55.1,87.3,
1991-09,92.7,56.8,78.6,
1991-10,92.1,60.5,75.6,
1991-11,91.7,56.7,51.8,
1991-12,92,65.3,86.1,
1992-01,95.6,65,90.8,
1992-02,95,68.1,89.8,
1992-03,93.7,63.4,69.4,
1992-04,93.4,60.7,44.6,
1992-05,94.5,59.4,43.5,
1992-06,92.5,57.2,28.4,
1992-07,93.4,58.9,34.7,
1992-08,93.2,52.9,24.4,
1992-09,92.5,58.3,31.8,
1992-10,90.8,62.7,45.1,
1992-11,92.3,69,75.4,
1992-12,94.6,69.6,84.5,
1993-01,93.6,72.6,87.3,
1993-02,94.2,65.3,70.4,
1993-03,94.7,65.9,73.8,
1993-04,92.8,61.5,49.9,
1993-05,92.4,69.9,66,
1993-06,92.4,69.5,59.5,
1993-07,91.6,69.7,51.6,
1993-08,92.5,75.7,65.8,
1993-09,93.1,78,70.6,
1993-10,93.2,79,73.3,
1993-11,92.1,72.4,55.4,
1993-12,92.1,76.1,62.4,
1994-01,93.5,78.9,68.2,
1994-02,91.4,76.3,57.3,
1994-03,88.8,66.4,27.5,
1994-04,83.1,70,23.1,
1994-05,83.3,68.4,23,
1994-06,83.4,59.1,15.8,
1994-07,81.1,63.5,21,
1994-08,83.7,69.2,40.2,
1994-09,83.4,66.8,39.5,
1994-10,81.1,71.2,46.8,
1994-11,79.1,62.9,34.8,
1994-12,76.4,66,38.7,
1995-01,77.7,60.3,40.2,
1995-02,81.5,62.5,58.9,
1995-03,83.9,63.1,66.4,
1995-04,86.8,62,73.8,
1995-05,89.3,59.3,75.6,
1995-06,91.5,71.7,89.9,
1995-07,94.7,78.8,95.6,
1995-08,93.9,80.5,93.6,
1995-09,95.6,75.3,91.4,
1995-10,95.4,69.4,83.9,
1995-11,96.1,67.5,81.2,
1995-12,96.7,56.4,68.8,
1996-01,96.2,57.4,61.8,
1996-02,97,52.8,67,
1996-03,96.7,53,57.8,
1996-04,96.4,69.7,81.9,
1996-05,96.6,74.5,86.7,
1996-06,96.7,57.4,64.5,
1996-07,94.6,49.4,25.7,
1996-08,95.7,51.2,40.7,
1996-09,96.1,59.5,67.4,
1996-10,96.9,51.2,55.5,
1996-11,97.2,51.7,73.6,
1996-12,97.2,50.4,65,
1997-01,97.4,54.8,82.6,
1997-02,97.8,40.9,55.1,
1997-03,97.5,26.4,27,
1997-04,96.7,42.1,35.6,
1997-05,98.1,44.9,72.6,
1997-06,98.4,39.9,75.3,
1997-07,98.8,47.6,92.9,
1997-08,98.7,46.3,87.6,
1997-09,98.6,52.8,92.6,
1997-10,98.7,40.4,69.2,
1997-11,98.2,44.7,63.9,
1997-12,98.4,34.3,46.6,
1998-01,98.2,40.4,50.6,
1998-02,99,46.7,78.8,
1998-03,99.1,43.3,81.8,
1998-04,99.2,38.5,79.3,
1998-05,99.1,28.3,49.9,
1998-06,98.8,43.6,74,
1998-07,99.2,30.6,61,
1998-08,98.5,2.5,4.9,
1998-09,97.1,37.1,19.6,
1998-10,97.2,46.1,30.9,
1998-11,98.7,43.9,65.6,
1998-12,99.2,56.6,93.6,
1999-01,99.8,75.6,100,
1999-02,99.7,54.9,91.7,
1999-03,99.8,62.3,96.7,
1999-04,99.8,61.4,96.4,
1999-05,99.8,55,87.1,
1999-06,99.6,75,94.1,
1999-07,99.8,59,80.4,
1999-08,99.3,78.6,79.2,
1999-09,98.6,79.3,64.9,
1999-10,98.3,91.9,84.3,
1999-11,99.5,99,97.5,
1999-12,99.7,100,100,
2000-01,99.5,99.7,99.5,
2000-02,98.3,100,100,
2000-03,99,99.7,99,
2000-04,99,98.7,63.6,
2000-05,97.8,88.8,13.5,
2000-06,98,98.7,48.7,
2000-07,97.8,96.7,20.7,
2000-08,97.7,98.7,48.8,
2000-09,97,90.2,10.4,
2000-10,95.8,83.4,4.4,
2000-11,95.1,33.7,0,
2000-12,94.3,29.7,0.1,
2001-01,93.9,50.8,2.7,
2001-02,93.1,2.9,0,
2001-03,77.6,1.3,0.1,
2001-04,75.5,21,1.3,
2001-05,86.9,5.1,2.4,
2001-06,80.5,15.2,6,
2001-07,72.5,7.3,6.3,
2001-08,68,1.3,4,
2001-09,37.9,0.3,1,
2001-10,43.5,3.1,5.9,
2001-11,57.3,14.3,28.2,
2001-12,60.5,13.7,35.5,
2002-01,58.3,12.7,30.7,
2002-02,44.4,3.7,12.8,
2002-03,56.8,4,26.7,
2002-04,42.4,1.5,14,
2002-05,36.3,1.2,11.6,
2002-06,21.4,0.6,5.9,
2002-07,3.2,1.5,2.6,
2002-08,3.4,0.9,3.2,
2002-09,1.4,0,1.6,
2002-10,1,5.7,9.4,
2002-11,3.1,9.3,30.4,
2002-12,2.6,3,16.3,
2003-01,2,3.3,20.3,
2003-02,0.6,8.3,28.3,
2003-03,0.7,8.9,37.3,
2003-04,1.6,16,70.7,
2003-05,3.6,24.8,88.4,
2003-06,8.3,14.4,86.7,
2003-07,8.4,33.1,93.2,
2003-08,7.1,39.5,93.5,
2003-09,10.8,30.6,87.4,
2003-10,13.6,42.7,93,
2003-11,15.4,42.9,89.3,
2003-12,20.4,41,84.9,
2004-01,28.6,37.5,83.3,
2004-02,28.3,30.2,65.7,
2004-03,21.5,33.2,52.6,
2004-04,21,20.3,30.8,
2004-05,12.6,36.5,38.2,
2004-06,15.8,38.9,46.2,
2004-07,10.7,25.2,21.7,
2004-08,6.7,21.8,17.4,
2004-09,9.8,24.5,24,
2004-10,7.9,36.2,36.3,
2004-11,15.3,40.9,59.5,
2004-12,20.1,45.8,71.9,
2005-01,15.3,37.3,47.9,
2005-02,16.1,35.6,44.4,
2005-03,12.5,31.9,33.8,
2005-04,6.2,30.4,23.6,
2005-05,7.6,49.3,43.3,
2005-06,10.2,44.2,37.2,
2005-07,11.6,54.8,56.4,
2005-08,9.9,53.6,46.3,
2005-09,7.6,54,45.5,
2005-10,3.9,56.8,40.3,
2005-11,8.4,57.7,58.9,
2005-12,12.5,54.3,49.3,
2006-01,12.6,58.2,62.4,
2006-02,10.9,57.3,51.4,
2006-03,11.6,58.2,57.2,
2006-04,9.7,56.4,48.7,
2006-05,6.5,46.1,26,
2006-06,3.5,52.1,25.4,
2006-07,3.5,41.9,17.5,
2006-08,4.3,47.4,27.7,
2006-09,6.8,49.3,38.1,
2006-10,13.7,51.8,56.5,
2006-11,17,53.3,65.2,
2006-12,20,47.1,59.5,
2007-01,19.6,50.7,65.6,
2007-02,20.5,41.1,54.2,
2007-03,11.8,48.8,50.1,
2007-04,17.7,49,61.7,
2007-05,23,48.3,65.5,
2007-06,21.9,45.4,56.7,
2007-07,22.2,38,39.6,
2007-08,12.4,54.6,44.4,
2007-09,17.5,56.3,59,
2007-10,23.3,59.4,76.7,
2007-11,9.8,56.7,41.4,
2007-12,12.7,52.5,36.8,
2008-01,3.1,41.8,13.6,
2008-02,1.9,32.6,9.7,
2008-03,1.2,41.3,11,
2008-04,2.3,45.2,20.5,
2008-05,3.5,52.1,33.7,
2008-06,1.3,35.8,14,
2008-07,0.5,58.1,19.3,
2008-08,0.9,58,27.6,
2008-09,0.4,37.7,10.2,
2008-10,0,48.8,2.5,
2008-11,0,42,1.1,
2008-12,0.1,53,2.5,
2009-01,0.1,36.1,1.9,
2009-02,0,37.5,1.4,
2009-03,0,74.1,7.4,
2009-04,0.4,73.9,27.4,
