date,heat
1990-01-05,45.1
1990-01-12,40.3
1990-01-19,40.4
1990-01-26,37.3
1990-02-02,40.5
1990-02-09,41.3
1990-02-16,41.4
1990-02-23,40.2
1990-03-02,42.7
1990-03-09,43.7
1990-03-16,44.9
1990-03-23,44
1990-03-30,43.7
1990-04-06,39.3
1990-04-20,38.5
1990-04-27,37.5
1990-05-04,46.4
1990-05-11,48.4
1990-05-18,50.8
1990-05-25,52.4
1990-06-01,53.1
1990-06-08,52.6
1990-06-15,54.8
1990-06-22,52.2
1990-06-29,53.3
1990-07-06,47.4
1990-07-13,50.2
1990-07-20,45.9
1990-07-27,42.8
1990-08-03,35
1990-08-10,34
1990-08-17,32.4
1990-08-24,30.4
1990-08-31,31.5
1990-09-07,29.2
1990-09-14,28.8
1990-09-21,28.1
1990-09-28,27.5
1990-10-05,26.7
1990-10-12,26.1
1990-10-19,26.5
1990-10-26,26.5
1990-11-02,28
1990-11-09,28.4
1990-11-16,29
1990-11-23,29
1990-11-30,30.3
1990-12-07,33.2
1990-12-14,33
1990-12-21,34
1990-12-28,33.8
1991-01-04,42.4
1991-01-11,41.9
1991-01-18,44.5
1991-01-25,48.6
1991-02-01,58.1
1991-02-08,63.8
1991-02-15,66.7
1991-02-22,66.6
1991-03-01,72.9
1991-03-08,74.6
1991-03-15,73.7
1991-03-22,73.5
1991-04-05,75
1991-04-12,75.2
1991-04-19,75.1
1991-04-26,74.6
1991-05-03,79.9
1991-05-10,79.9
1991-05-17,78.7
1991-05-24,79.5
1991-05-31,80.4
1991-06-07,73.1
1991-06-14,72.5
1991-06-21,71.2
1991-06-28,69.5
1991-07-05,74.2
1991-07-12,76.6
1991-07-19,76.6
1991-07-26,75.4
1991-08-02,78.7
1991-08-09,78.4
1991-08-16,78.2
1991-08-23,78.7
1991-08-30,78.7
1991-09-06,76.9
1991-09-13,76
1991-09-20,77.1
1991-09-27,75.7
1991-10-04,74.7
1991-10-11,73.5
1991-10-18,77.1
1991-10-25,72.7
1991-11-01,73.9
1991-11-08,74.6
1991-11-15,69.6
1991-11-22,67.9
1991-11-29,66.7
1991-12-06,72.3
1991-12-13,72.9
1991-12-20,71.2
1991-12-27,77.8
1992-01-03,82.8
1992-01-10,84.3
1992-01-17,84.8
1992-01-24,84.4
1992-01-31,83.8
1992-02-07,85.4
1992-02-14,85.2
1992-02-21,84.3
1992-02-28,84.3
1992-03-06,80.1
1992-03-13,79.9
1992-03-20,80.3
1992-03-27,76
1992-04-03,71.2
1992-04-10,69.3
1992-04-24,65.2
1992-05-01,65.9
1992-05-08,67.3
1992-05-15,64.3
1992-05-22,65
1992-05-29,65.8
1992-06-05,64
1992-06-12,60.6
1992-06-19,58.1
1992-06-26,57.1
1992-07-10,60.6
1992-07-17,60.8
1992-07-24,59.9
1992-07-31,62.3
1992-08-07,58.8
1992-08-14,58.5
1992-08-21,56.9
1992-08-28,56.9
1992-09-04,59.9
1992-09-11,61.4
1992-09-18,62.3
1992-09-25,59.9
1992-10-02,59.8
1992-10-09,59.5
1992-10-16,61.6
1992-10-23,64.5
1992-10-30,66.2
1992-11-06,71.8
1992-11-13,75.9
1992-11-20,76.9
1992-11-27,78.3
1992-12-04,81.3
1992-12-11,80.1
1992-12-18,80.9
1993-01-08,83.4
1993-01-15,85.1
1993-01-22,85.1
1993-01-29,84.5
1993-02-05,82.3
1993-02-12,80.7
1993-02-19,75.7
1993-02-26,76.6
1993-03-05,78.6
1993-03-12,80
1993-03-19,77.6
1993-03-26,76.9
1993-04-02,71.8
1993-04-16,70.2
1993-04-23,67.8
1993-04-30,68.1
